Prime name	Color of berry skin	Country or region of origin of the variety	variety_id	Species	VVS2_1	VVS2_2	VVMD5_1	VVMD5_2	VVMD7_1	VVMD7_2	VVMD25_1	VVMD25_2	VVMD27_1	VVMD27_2	VVMD28_1	VVMD28_2	VVMD32_1	VVMD32_2	VRZAG62_1	VRZAG62_2	VRZAG79_1	VRZAG79_2
SAGRANTINO	NOIR	ITALY	10457	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	139	234	234	239	249	239	239	186	186	244	258	252	262	200	200	239	251
SAHIBI GIRD	ROUGE	IRAN	10459	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	242	242	243	253	249	255	180	195	236	236	250	258	188	188	247	257
SAHIBI SAFID	BLANC	AFGHANISTAN	10460	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	145	240	242	235	247	239	239	180	180	244	258	250	272	188	196	247	257
SAHILI	BLANC	IRAN	10463	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	135	248	248	239	247			180	186	244	248	256	272				
SAINT COME	BLANC	FRANCE	10468	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	139	240	242	247	249	239	239	176	180	228	244	240	250	204	204	237	247
SAINT FIACRE	BLANC	FRANCE	10469		133	151	228	236	239	255	239	249	182	186	218	244	250	252	188	204	247	251
SAINT LAURENT	NOIR	FRANCE	10470	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	137	151	230	230	239	257	239	249	186	190	234	236	262	272	194	194	239	247
SAINT MACAIRE	NOIR	FRANCE	10472	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	155	228	242	239	249	255	255	180	190	234	248	240	252	188	200	251	251
SAINT PIERRE DORE	BLANC	FRANCE	10475	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	230	236	239	239	241	255	180	186	234	246	256	272	188	196	237	251
SAINT SAUVEUR	NOIR	FRANCE	10476	VITIS INTERSPECIFIC CROSSING	137	137	228	268	249	251	239	255	190	216	236	244	252	252	190	204	245	255
SAINT VICTOR	BLANC	FRANCE	10477	VITIS INTERSPECIFIC CROSSING	133	143	234	238	249	251	241	255	180	190	218	236	240	272	186	194	255	261
SAINTON	BLANC	FRANCE	10479	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	228	234	249	257	241	249	184	190	234	248	250	272	188	194	245	245
